type,year,quarter,category,count,amount,brand,percentage
user,,,,11926334,,Xiaomi,0.2544128980953847
user,,,,9609401,,Samsung,0.204988017052909
user,,,,5894293,,Vivo,0.1257372269092363
user,,,,4479351,,Oppo,0.0955536436843425
user,,,,2376866,,Realme,0.0507033735131336
user,,,,1825153,,Apple,0.0389342160128574
user,,,,1593250,,Motorola,0.0339872545822104
user,,,,1536418,,OnePlus,0.0327749127322708
user,,,,1246507,,Lenovo,0.0265905229860394
user,,,,808774,,Huawei,0.0172527901066829
user,,,,5581520,,Others,0.1190651443249327
user,,,,16416511,,Xiaomi,0.2579253202806905
user,,,,12943051,,Samsung,0.2033526231355927
user,,,,8365074,,Vivo,0.1314264882849758
user,,,,6246581,,Oppo,0.09814213294678
user,,,,3165738,,Realme,0.049737973408281
user,,,,2326897,,Apple,0.0365586606060921
user,,,,2099718,,Motorola,0.0329893750047821
user,,,,1890141,,OnePlus,0.029696640339757
user,,,,1627153,,Lenovo,0.0255647475075968
user,,,,1104740,,Huawei,0.0173569413334471
user,,,,7462707,,Others,0.1172490971520045
user,,,,20859459,,Xiaomi,0.2607075466368654
user,,,,16228372,,Samsung,0.2028268829997173
user,,,,11118842,,Vivo,0.1389665004860834
user,,,,8103650,,Oppo,0.1012817595271207
user,,,,3962596,,Realme,0.0495256699357857
user,,,,2774989,,Apple,0.0346826144500817
user,,,,2529272,,Motorola,0.0316115723757417
user,,,,2231557,,OnePlus,0.0278906442707993
user,,,,1857680,,Lenovo,0.0232178214802393
user,,,,1444125,,Huawei,0.0180490915793627
user,,,,8900410,,Others,0.1112398962582022
user,,,,26709586,,Xiaomi,0.2611876516661043
user,,,,20740259,,Samsung,0.2028148075060686
user,,,,14966905,,Vivo,0.1463583437669035
user,,,,10754040,,Oppo,0.1051615870617894
user,,,,4997725,,Realme,0.0488717442652604
user,,,,3435529,,Apple,0.0335953448226715
user,,,,3089947,,Motorola,0.030215968180964
user,,,,2668868,,OnePlus,0.0260983216110804
user,,,,2257295,,Lenovo,0.0220736322969453
user,,,,1899667,,Huawei,0.0185764602520455
user,,,,10742234,,Others,0.1050461385701666
user,,,,32175910,,Xiaomi,0.2606757387683793
user,,,,25070398,,Samsung,0.2031098582718344
